"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,0,,,0.03,
"2010",0,0,,,,
"2011",0.06,0,,,,
"2012",0.12,0.06,,,,
"2013",,,,,,
"2014",0.05,,,,,
"2015",0.1,0.08,,,0.5,
"2016",0.32,0.28,,0.01,,
"2017",0.7,1.17,,0.04,0.03,
"2018",0.93,1.01,,0.16,0.18,
"2019",1.87,1.7,,0.22,0.18,
"2020",5.59,6.27,,0.23,0.21,
"2021",10.56,10.66,0,0.22,0.11,
"2022",15.82,9.39,0,0.04,0,
"2023",23.15,10.28,0,0.01,,
"2024",27.37,8.49,0,,,
"2025",27.09,8.02,0,0.02,,
