,PC1,PC2
9,3.346615498134268,-0.8551069220831362
10,1.064091536374025,-0.4207952864810041
11,-1.6223484244887465,-0.34114843859642063
12,-3.242708865882996,-0.5920731687812243
23,3.3001234453619155,-0.7609958472046626
24,1.1176622295679985,-0.5650745397716069
25,-1.5925155470213388,-0.5654617976581056
26,-3.0855416047186677,-0.8781158912249218
37,3.5758633273988383,0.6500691502318424
38,1.4236010347409327,0.673675792253802
39,-1.4578952741169229,0.6843736326999249
40,-3.1553550926128433,0.5753534320192241
51,3.815783105514404,0.805676315673531
52,1.309174972977151,0.9387533150265612
53,-1.4115843479098964,1.0677469912031328
54,-3.1381105952179906,0.9801256030902383
65,4.279116664620207,1.8399485575536323
66,1.3742790083420011,2.2277422841042673
67,-1.369789128943703,2.393195998550426
68,-2.904035073458101,1.8994321041203968
79,3.2980217232743696,-1.2542072999730052
80,1.1406880928910412,-0.9455174410433146
81,-1.5911427422136402,-1.04118043895833
82,-3.386612690778276,-1.031999886966966
93,3.500208026723851,-1.192672228201547
94,1.1436464637976096,-0.8259930832756875
95,-1.727051933416072,-0.6971990018204113
96,-3.0443846065813442,-1.1790977121751118
107,4.328560253184952,1.3586991298540863
108,1.4699911081434103,1.7832221573792217
109,-1.7462003701035966,2.2540799263211677
110,-3.234753664512488,1.8598960985325108
121,3.70064538088683,-0.52593074451764
122,1.155041460253185,0.04659097047017923
123,-1.5684929793113216,0.27054289724722874
124,-3.129808114762748,-0.17771133781520718
135,3.9075118854003357,1.4922320497821433
136,1.0378664676082106,-1.2890779999216517
137,-1.5523431814510564,-1.4802385301850542
138,-3.2647539151602563,-1.705437523072622
149,3.3734022895015294,-2.0534551809006687
150,1.0797447227843746,-1.9098334698958843
151,-1.545239464699,-1.7557512509103874
152,-3.288035030813888,-1.8762585776890015
163,3.4486121465385318,0.35914558581328604
164,1.13558617043763,1.1263305394276497
165,-1.547040268569937,0.924157630446386
166,-2.975468039741817,0.4483290704523359
177,3.20960469888148,-1.992010530782954
178,0.8585801564251517,-1.6135238345033833
179,-1.685335045880698,-1.774740125004051
180,-3.481244484323404,-1.872061751261742
191,4.010564052022917,-0.4197669490624627
192,0.7805784695006266,0.8138198223904238
193,-1.8864830264488033,0.8015085333157481
194,-3.331179425324846,0.29396535145811653
205,3.7061741922526363,-1.5479855549929524
206,1.1996110820403105,-1.2619548966447895
207,-1.5878603279255485,-1.130096022570826
208,-3.3417540621263453,-1.1742487934939592
219,3.761426476479968,1.2176141790712187
220,1.6131304065416914,1.107490229496625
221,-1.34215399122944,1.3022285177963553
222,-3.1216018550066473,1.4949618165052532
233,3.6580395031387494,1.06152277062624
234,1.2884845247574335,1.4956191642826961
235,-1.8553227344904726,1.8334400119882122
236,-3.137472258106376,1.033775142933229
247,3.2480870721969763,0.767068775500009
248,1.1515828134989354,0.903288425060636
249,-1.4179250883313093,1.029489491095191
250,-2.9719716478568325,0.7763360882684435
261,3.3093828511035075,2.147582956770746
262,1.4506873064266455,2.2036322445866587
263,-1.3801918523585321,2.6726504866386978
264,-3.3334564378336857,2.865493544784029
275,3.1085690328028157,-1.621177856075445
276,0.964111748330433,-1.3479267212857948
277,-1.8532975869689088,-1.1168294549257338
278,-3.252939632611348,-1.360040970128008
289,3.041034755179271,-0.628488161532354
290,0.8449624921607862,-0.582771520688389
291,-1.56745654251905,-0.7219981064840705
292,-3.2544011612520447,-0.9770309683527465
303,3.7946432055500887,-0.3138591714342881
304,1.38376061394031,0.029528986321556917
305,-1.6209453787021664,0.31062147008225344
306,-3.1128330951679466,0.03699559010921391
317,3.4133313852296667,-0.35932344140497013
318,1.1504265450249032,-0.18204952992853807
319,-1.4503651785170855,-0.25980225552908776
320,-3.0287698444718365,-0.648932401396683
331,3.506474549829904,0.4824219142219373
332,1.4519645938617203,0.3973819238339282
333,-1.5058363195528852,0.6947588929195504
334,-3.1311072253500343,0.47967091210567553
345,3.7960480053905465,0.8089843366995025
346,1.4041559189710842,0.8945198431363889
347,-1.4675334882380462,1.1396337944458672
348,-3.111480724667313,0.9405509552005913
359,4.094173651743316,-1.470339049941441
360,0.9733511193449541,-0.6370087337244339
361,-1.748235518110293,-0.5977090566838514
362,-3.299971727185688,-0.8049483968623694
373,3.4003525309655522,-1.9147584207822843
374,1.1154771671707164,-1.6007094221290545
375,-1.7637201046054778,-1.245011821986438
376,-3.390551213570999,-1.5984378851814922
