"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,90,
"2009",0,0,,,,
"2010",0,0,,,,
"2011",25,17,,,,
"2012",3,1,,,,
"2013",,,,,1362,
"2014",24,,,,51,
"2015",15,15,,0,121,
"2016",55,,,293,188,
"2017",214,175,,646,119,
"2018",301,281,,561,189,
"2019",166,209,,239,152,
"2020",907,811,,540,404,
"2021",1136,1012,2,651,180,
"2022",1508,1626,1,1407,291,
"2023",2516,2862,1,1568,122,
"2024",2227,2174,0,1810,,
"2025",2972,2820,0,1244,,
