"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,,
"2009",0,0,,,,
"2010",0,0,,,,
"2011",9,0,,,,
"2012",8,17,,,,
"2013",14,,,,244,
"2014",29,6,,3,268,
"2015",195,30,,2,153,
"2016",232,,,24,135,
"2017",725,359,,8,135,
"2018",1287,680,,37,13,
"2019",1833,1035,,10,3,
"2020",2975,2982,,308,3,
"2021",4312,4182,,495,6,
"2022",4710,4872,,528,7,
"2023",6090,5447,,559,3,
"2024",8565,5695,,364,,
"2025",8035,4642,,530,,
