"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,6000,20000,
"2009",0,0,,12500,,
"2010",0,0,,,,
"2011",0,0,,12,126,
"2012",0,4,,29,307,
"2013",,,,40,194,
"2014",,,,,,
"2015",10,,,116,215,
"2016",11,,,502,56,
"2017",13,48,,465,215,
"2018",145,77,,,292,
"2019",188,88,,1769,450,
"2020",277,279,,,,
"2021",550,267,,82,21,
"2022",1021,456,,4,,
"2023",1754,338,1,28,,
"2024",1665,1498,0,121,,
"2025",1744,456,0,36,,
