"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,0,,,
"2009",31,0,0,,,
"2010",20,0,0,,,
"2011",415,0,0,,,
"2012",471,33,0,,,
"2013",497,7,16,,,
"2014",1569,21,11,,110,
"2015",4133,123,30,,53,
"2016",1219,157,16,,63,
"2017",710,240,14,,47,
"2018",1502,3180,5,,7,
"2019",5487,3822,8,0,6,
"2020",14185,18337,45,0,0,
"2021",24832,40455,76,0,0,
"2022",30718,26425,6,,,
"2023",62618,16665,1,,1,
"2024",89568,7092,0,,,
"2025",99851,4012,28,,,
