"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,1381,
"2009",25,0,,,466,
"2010",112,0,,,333,
"2011",631,2,,,444,
"2012",427,267,,,460,
"2013",656,80,,,628,
"2014",1344,209,6,,788,
"2015",1699,984,4,0,703,
"2016",3806,1182,,121,484,
"2017",5398,1820,2,,435,
"2018",6774,2130,7,,641,
"2019",9242,2766,19,2,578,
"2020",15955,7762,14,0,407,
"2021",33379,14633,14,3,78,
"2022",33768,13271,14,4,59,
"2023",47614,16410,9,5,6,
"2024",44622,16928,1,1,12,
"2025",46151,20793,0,2,,
