"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,17,
"2009",0,0,,,,
"2010",0,0,,,,
"2011",0,0,,,,
"2012",0,0,,,,
"2013",,,,3,80,
"2014",,,,,,
"2015",15,,,11,63,
"2016",60,11,,25,,
"2017",49,19,,48,,
"2018",152,42,,,,
"2019",169,52,,,0,
"2020",453,62,,0,73,
"2021",1134,70,,89,77,
"2022",1318,740,,186,,
"2023",2034,787,,,1,
"2024",2003,1685,,,577,
"2025",2171,2962,,,566,
