"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,,
"2009",0,0,,,,
"2010",0,0,,,,
"2011",0,0,,,,
"2012",0,0,,,,
"2013",,,,,,
"2014",,,,,,
"2015",,20,,,,
"2016",21,18,,,,
"2017",49,50,,,,
"2018",37,49,,,,
"2019",63,88,,,,
"2020",42,78,,0,,
"2021",80,122,,0,,
"2022",361,197,,1,,
"2023",796,505,,,,
"2024",1193,664,,,,
"2025",1149,601,,,,
