"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,30,
"2009",0,0,,,2,
"2010",18,0,,,2,
"2011",201,2,,,,
"2012",64,30,,,,
"2013",167,7,,,2,
"2014",198,90,,,2,
"2015",692,487,,0,6,
"2016",820,1018,,1135,7,
"2017",1719,2420,,1795,7,
"2018",4484,3757,,1886,23,
"2019",6883,5821,,2111,41,
"2020",7849,11858,,1815,30,
"2021",13258,15731,3,3242,23,
"2022",17806,16042,0,5429,9,
"2023",36361,26374,2,11263,4,
"2024",42065,27630,0,15001,,
"2025",36757,24871,3,14383,,
