"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,346,,
"2009",0,0,,129,,
"2010",0,0,,166,,
"2011",56,0,,190,,
"2012",506,5,,158,,
"2013",116,5,,121,6,
"2014",316,18,,122,17,
"2015",37,14,,52,16,
"2016",49,7,,44,3,
"2017",26,25,,99,9,
"2018",100,39,,41,109,
"2019",80,23,,0,708,
"2020",360,68,,0,808,
"2021",503,164,1,0,345,
"2022",712,424,1,,163,
"2023",1458,537,1,,66,
"2024",1320,1268,0,,97,
"2025",658,1009,0,,,
