"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,,
"2009",2,0,,,,
"2010",18,0,,,,
"2011",46,0,,,,
"2012",139,0,,,,
"2013",167,7,,,,
"2014",224,29,,,,
"2015",489,83,,0,,
"2016",420,253,1,,,
"2017",627,303,,,,
"2018",1248,709,,,,
"2019",3455,1359,,,,
"2020",4010,2494,,0,0,
"2021",8703,7907,,17,311,
"2022",15706,7783,0,537,620,
"2023",22869,10348,0,,,
"2024",17459,12538,0,,,
"2025",23091,18752,0,,,
