"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,,
"2009",0,0,,,,
"2010",0,0,,,,
"2011",0,0,,,1,
"2012",6,3,,,,
"2013",,,,,28,
"2014",158,1,,,211,
"2015",17,,,0,29,
"2016",19,15,,77,4,
"2017",62,29,,79,13,
"2018",130,29,,38,3,
"2019",118,23,,120,15,
"2020",297,90,,106,34,
"2021",421,140,,169,25,
"2022",1068,275,,148,12,
"2023",1800,396,,300,41,
"2024",1293,790,,367,40,
"2025",1265,2098,,255,28,
