"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,,
"2009",0,0,,,,
"2010",0,0,,,,
"2011",12,0,,,,
"2012",17,10,,,,
"2013",,,,,,
"2014",22,2,,232,48,
"2015",93,6,,199,118,
"2016",152,37,,290,16,
"2017",336,187,,467,65,
"2018",480,216,,184,11,
"2019",579,84,,105,3,
"2020",1667,118,,185,0,
"2021",1688,284,,428,0,
"2022",2319,626,,407,,
"2023",4338,1074,,503,,
"2024",3148,1143,,834,,
"2025",5111,1668,,361,,
