"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,14,
"2009",0,0,,,17,
"2010",0,0,,,,
"2011",31,0,,,,
"2012",61,30,,,,
"2013",,,,,,
"2014",25,,,,,
"2015",45,35,,,234,
"2016",162,142,,5,,
"2017",371,616,,23,17,
"2018",492,535,,82,95,
"2019",1012,919,,118,96,
"2020",2525,2833,,104,93,
"2021",4686,4728,1,98,49,
"2022",6658,3951,2,15,2,
"2023",11380,5053,0,7,,
"2024",12778,3962,0,,,
"2025",10376,3354,0,10,,
