"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",0,0,,,,
"2009",0,0,,,,
"2010",0,0,,,55,
"2011",5,0,,,46,
"2012",2,5,,,78,
"2013",31,1,,465,221,
"2014",,,,,,
"2015",54,70,,,,
"2016",64,99,,,,
"2017",235,139,,1464,,
"2018",504,188,,1359,,
"2019",1613,675,,1415,,
"2020",2844,1049,,9278,0,
"2021",6342,3009,,9105,0,
"2022",11556,3309,,12378,,
"2023",15221,2921,,17669,,
"2024",9802,6801,,15392,,
"2025",5513,3607,,14575,,
