"Category","AC","DC"
"2020 Q1",228,43
"2020 Q2",253,42
"2020 Q3",260,44
"2020 Q4",317,69
"2021 Q1",399,60
"2021 Q2",615,67
"2021 Q3",686,72
"2021 Q4",666,78
"2022 Q1",672,81
"2022 Q2",751,90
"2022 Q3",802,121
"2022 Q4",828,117
"2023 Q1",851,122
"2023 Q2",1101,159
"2023 Q3",1263,196
"2023 Q4",1380,230
"2024 Q1",1431,247
"2024 Q2",1487,346
"2024 Q3",1529,462
"2024 Q4",1999,549
"2025 Q1",2104,574
"2025 Q2",2190,653
"2025 Q3",2292,744
"2025 Q4",2360,760
