"Category","AC","DC"
"2020 Q1",262,15
"2020 Q2",263,15
"2020 Q3",671,30
"2020 Q4",1320,36
"2021 Q1",1613,39
"2021 Q2",1773,47
"2021 Q3",2047,120
"2021 Q4",2097,137
"2022 Q1",2147,135
"2022 Q2",2275,148
"2022 Q3",2267,163
"2022 Q4",2188,326
"2023 Q1",2090,698
"2023 Q2",2149,891
"2023 Q3",6151,1941
"2023 Q4",6967,3090
"2024 Q1",6114,4058
"2024 Q2",6337,4270
"2024 Q3",6183,4914
"2024 Q4",6274,5579
"2025 Q1",16734,11279
"2025 Q2",16834,11594
"2025 Q3",16287,13425
"2025 Q4",20115,14822
