"Category","AC","DC"
"2020 Q1",171,55
"2020 Q2",189,47
"2020 Q3",212,57
"2020 Q4",262,155
"2021 Q1",570,182
"2021 Q2",631,206
"2021 Q3",798,347
"2021 Q4",522,258
"2022 Q1",512,265
"2022 Q2",616,277
"2022 Q3",681,281
"2022 Q4",767,326
"2023 Q1",809,328
"2023 Q2",906,376
"2023 Q3",913,386
"2023 Q4",675,399
"2024 Q1",932,446
"2024 Q2",1009,542
"2024 Q3",1062,550
"2024 Q4",1262,577
"2025 Q1",1324,685
"2025 Q2",1336,745
"2025 Q3",1409,907
"2025 Q4",1426,895
