"Category","AC","DC"
"2020 Q1",130,40
"2020 Q2",132,48
"2020 Q3",135,38
"2020 Q4",286,5
"2021 Q1",317,10
"2021 Q2",517,10
"2021 Q3",474,12
"2021 Q4",597,13
"2022 Q1",491,19
"2022 Q2",712,23
"2022 Q3",786,35
"2022 Q4",947,38
"2023 Q1",1022,56
"2023 Q2",1441,57
"2023 Q3",3016,194
"2023 Q4",2950,216
"2024 Q1",3869,399
"2024 Q2",5668,723
"2024 Q3",6049,782
"2024 Q4",6167,882
"2025 Q1",6823,1053
"2025 Q2",7014,1201
"2025 Q3",6913,1347
"2025 Q4",6964,1392
