"Category","AC","DC"
"2020 Q1",3,
"2020 Q2",3,
"2020 Q3",3,
"2020 Q4",3,10
"2021 Q1",6,10
"2021 Q2",6,10
"2021 Q3",35,14
"2021 Q4",38,15
"2022 Q1",48,17
"2022 Q2",60,16
"2022 Q3",60,16
"2022 Q4",57,16
"2023 Q1",57,17
"2023 Q2",68,17
"2023 Q3",74,29
"2023 Q4",74,29
"2024 Q1",75,31
"2024 Q2",71,31
"2024 Q3",62,31
"2024 Q4",77,31
"2025 Q1",80,31
"2025 Q2",84,31
"2025 Q3",84,31
"2025 Q4",84,31
