"Category","AC","DC"
"2020 Q1",26,16
"2020 Q2",29,19
"2020 Q3",33,23
"2020 Q4",33,23
"2021 Q1",34,23
"2021 Q2",24,15
"2021 Q3",36,28
"2021 Q4",49,25
"2022 Q1",27,51
"2022 Q2",55,56
"2022 Q3",68,51
"2022 Q4",91,56
"2023 Q1",89,64
"2023 Q2",113,65
"2023 Q3",109,70
"2023 Q4",339,255
"2024 Q1",300,260
"2024 Q2",464,380
"2024 Q3",517,394
"2024 Q4",575,476
"2025 Q1",667,561
"2025 Q2",779,798
"2025 Q3",875,898
"2025 Q4",886,950
