"Category","AC","DC"
"2020 Q1",392,59
"2020 Q2",553,121
"2020 Q3",749,114
"2020 Q4",1049,168
"2021 Q1",1331,181
"2021 Q2",1339,174
"2021 Q3",1547,192
"2021 Q4",2297,337
"2022 Q1",2586,488
"2022 Q2",2711,421
"2022 Q3",2678,424
"2022 Q4",2868,461
"2023 Q1",2795,508
"2023 Q2",2652,520
"2023 Q3",2892,601
"2023 Q4",2742,575
"2024 Q1",2903,663
"2024 Q2",3079,791
"2024 Q3",3135,857
"2024 Q4",3170,1005
"2025 Q1",3726,1135
"2025 Q2",3935,1252
"2025 Q3",3824,1310
"2025 Q4",3552,1350
