,Log_BEV Percentage (Total Number Of Registrations)
0,0.1655144384775734
1,0.1222176327242492
2,0.1906203596086497
3,0.3646431135879093
4,0.4382549309311553
5,0.7654678421395714
6,0.9282193027394288
7,1.095273387402595
8,1.3376291891386096
9,2.002830439307996
10,2.702702594775615
11,2.815408719422709
14,0.0487901641694319
15,0.1133286853070031
16,0.0953101798043248
17,0.2390169004704999
18,0.2776317365982795
19,0.3435897043900769
20,0.4252677354043441
21,0.5423242908253617
22,0.9516578757114464
23,1.4996230464268938
24,1.908059924924216
25,2.4265710727750367
28,0.0
29,0.0
30,0.0194229693746585
31,0.0388459387493171
32,0.0582689081239757
33,0.0487901641694319
34,0.0487901641694319
35,0.412109650826833
36,0.4510756193602165
37,0.8064758658669484
38,1.175573329804238
39,1.5173226235262949
42,0.0
43,0.0
44,0.0099013136480898
45,0.0198026272961797
46,0.0861776962410523
47,0.0487901641694319
48,0.009950330853168
49,0.0861776962410523
50,0.1484200051182733
51,0.9082585601768908
52,1.3887912413184778
53,1.396244691973059
56,0.0
57,0.0
58,0.0392509372024162
59,0.0785018744048323
60,0.1177528116072486
61,0.1570037488096647
62,0.3148107398400335
63,0.2468600779315258
64,0.4054651081081644
65,0.3506568716131694
66,0.5596157879354227
67,1.410986973710262
70,0.0295588022415444
71,0.0487901641694319
72,0.0198026272961797
73,0.0295588022415444
74,0.131028262406404
75,0.0769610411361283
76,0.131028262406404
77,0.2468600779315258
78,0.2700271372130601
79,0.959350221334602
80,0.8241754429663494
81,1.1151415906193205
84,0.2151113796169455
85,0.2468600779315258
86,0.2468600779315258
87,0.6043159668533294
88,1.0986122886681098
89,0.4382549309311553
90,0.2776317365982795
91,0.5247285289349821
92,1.2325602611778486
93,2.0992441689760155
94,2.667228206581955
95,3.0777729838902004
98,0.2851789422336624
99,1.2837077723447896
100,0.46373401623214
101,0.9162907318741552
102,0.1655144384775734
103,0.1906203596086497
104,0.0953101798043248
105,0.3220834991691133
106,0.2546422183735807
107,1.0715836162801904
108,1.1786549963416462
109,1.4586150226995167
112,0.0198026272961797
113,0.0487901641694319
114,0.0487901641694319
115,0.1570037488096647
116,0.1988508587451652
117,0.173953307123438
118,0.3646431135879093
119,0.5128236264286639
120,0.9783261227936076
121,1.6863989535702288
122,2.425687290128029
123,2.933324813425374
126,0.1133286853070031
127,0.2623642644674909
128,0.3987761199573678
129,0.488580014818671
130,0.6626879730752367
131,0.7701082216960737
132,0.8197798314933114
133,0.9202827531436926
134,1.091923300517313
135,2.0438143640366846
136,2.376764491168297
137,2.658159431488745
140,0.0582689081239757
141,0.0769610411361283
142,0.1655144384775734
143,0.2623642644674909
144,0.3506568716131694
145,0.3220834991691133
146,0.5596157879354227
147,0.7227059828014898
148,0.9932517730102832
149,2.0228711901914416
150,2.667228206581955
151,2.9183111265854063
154,0.0
155,0.0
156,0.009950330853168
157,0.0582689081239757
158,0.0582689081239757
159,0.0392207131532812
160,0.0676586484738148
161,0.0953101798043248
162,0.1570037488096647
163,0.6097655716208943
164,1.1314021114911006
165,1.2556160374777745
168,0.0198026272961797
169,0.0198026272961797
170,0.0198026272961797
171,0.0392207131532812
172,0.2231435513142097
173,0.2151113796169455
174,0.4824261492442928
175,0.6626879730752367
176,0.7701082216960737
177,1.199964782928397
178,1.5129270120532563
179,1.6524974018945473
182,0.0487901641694319
183,0.1570037488096647
184,0.1988508587451652
185,0.2390169004704999
186,0.3220834991691133
187,0.2468600779315258
188,0.3852624007906448
189,0.6780335427498971
190,1.3190856114264409
191,1.6974487897568136
192,2.2321626286975
193,2.766947842349696
196,0.009950330853168
197,0.0392207131532812
198,0.0582689081239757
199,0.0769610411361283
200,0.0953101798043248
201,0.0769610411361283
202,0.1043600153242427
203,0.2390169004704999
204,0.4382549309311553
205,1.208960345836975
206,1.7263316639055997
207,1.55814461804655
210,0.0
211,0.0582689081239757
212,0.423363134244123
213,0.7884573603642703
214,0.1133286853070031
215,0.1043600153242427
216,0.3074846997479606
217,0.5653138090500605
218,0.494696241836107
219,1.144222799920162
220,1.3711807233098423
221,1.998773638612381
224,0.0
225,0.0
226,0.003316776951056
227,0.006633553902112
228,0.009950330853168
229,0.0392207131532812
230,0.0295588022415444
231,0.0861776962410523
232,0.0953101798043248
233,0.7561219797213337
234,1.528227857008557
235,1.8180767775454283
238,0.0582689081239757
239,0.1133286853070031
240,0.0810594247382175
241,0.0487901641694319
242,0.0953101798043248
243,0.2776317365982795
244,0.5306282510621704
245,0.6575200029167941
246,1.0543120297715298
247,1.885553348514416
248,2.4475508632442318
249,2.822568654544802
252,0.4824261492442928
253,0.4824261492442928
254,0.4824261492442928
255,0.4824261492442928
256,0.4824261492442928
257,0.4824261492442928
258,0.4824261492442928
259,1.1631508098056809
260,1.5390154481375546
261,0.8020015854720274
262,0.9162907318741552
263,1.0784095813505905
266,0.1397619423751587
267,0.1484200051182733
268,0.5596157879354227
269,0.6097655716208943
270,0.6151856390902334
271,0.717839793150317
272,1.0715836162801904
273,1.8594181177018696
274,2.698673039289613
275,3.064791809485486
276,3.0392705755684744
277,3.1912990570979662
280,0.009950330853168
281,0.009950330853168
282,0.009950330853168
