"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,0,,,,
"2010",0,0,,,,
"2011",0.02,0,,,,
"2012",0.02,0.03,,,,
"2013",0.02,,,,0.43,
"2014",0.04,0.01,,0,0.39,
"2015",0.25,0.04,,0,0.2,
"2016",0.24,,,0.02,0.14,
"2017",0.62,0.31,,0.01,0.12,
"2018",0.94,0.5,,0.03,0.01,
"2019",1.16,0.65,,0.01,0,
"2020",2.32,2.33,,0.24,0,
"2021",3.54,3.43,,0.41,0,
"2022",4.22,4.37,,0.47,0.01,
"2023",5.66,5.06,,0.52,0,
"2024",7.04,4.68,,0.3,,
"2025",8.41,4.97,,0.53,,
