"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,0,,,,
"2010",0,0,,,,
"2011",0.04,0.02,,,,
"2012",0,0,,,,
"2013",,,,,2.08,
"2014",0.03,,,,0.07,
"2015",0.02,0.02,,0,0.15,
"2016",0.06,,,0.33,0.21,
"2017",0.22,0.18,,0.67,0.12,
"2018",0.31,0.28,,0.57,0.19,
"2019",0.16,0.21,,0.23,0.15,
"2020",1.19,1.06,,0.71,0.53,
"2021",1.5,1.34,0,0.86,0.24,
"2022",1.91,2.06,0,1.78,0.37,
"2023",2.86,3.25,0,1.78,0.14,
"2024",2.34,2.29,0,1.9,,
"2025",4.46,4.23,0,1.8,,
