"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",0,0,,42.74,,
"2010",0,0,,,,
"2011",0,0,,0.06,0.68,
"2012",0,0.02,,0.14,1.46,
"2013",,,,0.26,1.28,
"2014",,,,,,
"2015",0.06,,,0.67,1.24,
"2016",0.05,,,2.46,0.27,
"2017",0.05,0.18,,1.79,0.83,
"2018",0.51,0.27,,,1.02,
"2019",0.57,0.27,,5.38,1.37,
"2020",1.24,1.25,,,,
"2021",2.24,1.09,,0.33,0.09,
"2022",3.56,1.59,,0.01,,
"2023",4.9,0.95,0,0.08,,
"2024",3.96,3.56,0,0.29,,
"2025",4.91,1.2,0,0.09,,
