"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:CPI(5.0.0)","ESP.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Spain","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","3.196101888337842","2.44612782366812","1.408581091830136","-0.1511148375272046","-0.5003657099032504","-0.2025980004264603","1.95607633363965","1.674981368637938","0.6995189944586921","-0.3227530172996851","3.093135119764123","8.390576341186343","3.532361334924285","2.774178265347752"
"IMF.STA:CPI(5.0.0)","CYP.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Cyprus","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","3.28944939564209","2.389054100423183","-0.3993576764643791","-1.354988854463165","-2.096997690531131","-1.42916666666665","0.5317664961744768","1.435491195317625","0.2503709967584749","-0.6384227979789451","2.446088671754743","8.395482979933316","3.541341887516581","1.800230186248181"
"IMF.STA:CPI(5.0.0)","BGR.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Bulgaria","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","4.21990346601874","2.954568298310172","0.890093540913077","-1.418183802648447","-0.1046332610083839","-0.7986498864536767","2.061596194431412","2.814544738248301","3.103729447967741","1.672440968557628","3.297744352995085","15.32525892643667","9.442841400885662","2.446519430060781"
"IMF.STA:CPI(5.0.0)","CZE.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Czech Republic","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","1.91721913635551","3.287623066104061","1.438297872340443","0.3439885896467657","0.3093645484950001","0.6835042093856464","2.450533984601408","2.149494949494982","2.847875959180444","3.161295284978078","3.83984491500143","15.10016514683717","10.66126013724261","2.43531202435312"
"IMF.STA:CPI(5.0.0)","SVK.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Slovak Republic","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","3.919285991462897","3.606102635228893","1.400473689630275","-0.07616532954199252","-0.3252197774276946","-0.5200101962782973","1.311945882232337","2.5140371288381","2.664561334254356","1.936941266942209","3.149606299212675","12.774146363761","10.53194766452113","2.757609094242728"
"IMF.STA:CPI(5.0.0)","EST.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Estonia, Republic of","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","4.981901314536063","3.93339987296984","2.78056658954994","-0.1061751465216852","-0.4923260065473915","0.1486849076273649","3.417235494880547","3.436326884204464","2.277259312435176","-0.4445310976798129","4.653166738474747","19.39826340806164","9.159225079839821","3.520560532965817"
"IMF.STA:CPI(5.0.0)","LVA.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Latvia, Republic of","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","4.370735599392236","2.257789243745899","-0.02945477825788116","0.6204906367323839","0.1742422436252117","0.1406333345052945","2.930363123746697","2.534454241865939","2.811409200756192","0.2190649048421137","3.275829374311562","17.3102830198815","8.938046233166386","1.265798858287292"
"IMF.STA:CPI(5.0.0)","HUN.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Hungary","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","3.929920989350683","5.652145170886496","1.733199849831035","-0.2275662709882774","-0.06164468006415975","0.3947693066863805","2.348242811501598","2.850247925946405","3.338586353820137","3.326743857667302","5.1109653438286","14.60814394924331","17.12496596787367","3.703703703703673"
"IMF.STA:CPI(5.0.0)","LTU.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Lithuania, Republic of","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","4.130275626450858","3.08998277055415","1.047479370653487","0.1037580094337189","-0.884097405500606","0.9055250754603428","3.722888623037065","2.697927792083923","2.334509379880277","1.199894449835678","4.683544209034547","19.70504615183938","9.117319623904732","0.7157358352286965"
"IMF.STA:CPI(5.0.0)","HRV.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Croatia, Republic of","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","2.272727272727254","3.412073490813648","2.216582064297766","-0.2151961595762623","-0.464499004644924","-1.125","1.129372102823444","1.500125010417555","0.7718203464980374","0.154811374562112","2.554506996420369","10.78058067586863","7.941281775868271","2.972004776436221"
"IMF.STA:CPI(5.0.0)","SVN.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Slovenia, Republic of","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","1.802851719419044","2.597413860390107","1.769200858818989","0.1993438265707711","-0.5255522858208318","-0.0549995416704661","1.429107433193026","1.73860861988179","1.630522607543421","-0.05485681576060164","1.917065060892635","8.833698867494546","7.446877173858359","1.965626564325074"
"IMF.STA:CPI(5.0.0)","ROU.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Romania","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","5.78925328815879","3.334922676934441","3.984712355481279","1.068309876842947","-0.5941564374951465","-1.544796668139026","1.339021211043979","4.625484431377739","3.827854325994349","2.631073111847455","5.052328760965817","13.79548874325207","10.39718747649961","5.721405743544354"
"IMF.STA:CPI(5.0.0)","POL.CPI._T.YOY_PCH_PA_PT.A","OBS_VALUE","Poland, Republic of","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Annual","Units","4.239401496259383","3.560371517027893","0.9919826063324093","0.05382131323998922","-0.8741258741258475","-0.6647673314339438","2.075935536738486","1.812951565426867","2.227478809383008","3.374469726185885","5.055027047192688","14.42945075757578","11.52891279611048","3.784260075128692"
