"Category","AC","DC"
"2020 Q1",1369,97
"2020 Q2",1447,105
"2020 Q3",1899,161
"2020 Q4",2048,305
"2021 Q1",2943,395
"2021 Q2",2968,444
"2021 Q3",3059,529
"2021 Q4",3094,592
"2022 Q1",3428,696
"2022 Q2",4300,962
"2022 Q3",4410,1040
"2022 Q4",5223,1310
"2023 Q1",5365,1474
"2023 Q2",5931,1662
"2023 Q3",5607,1715
"2023 Q4",5582,1723
"2024 Q1",6848,2223
"2024 Q2",7302,2517
"2024 Q3",7702,2784
"2024 Q4",8809,3310
"2025 Q1",9376,3665
"2025 Q2",9965,3994
"2025 Q3",10519,4603
"2025 Q4",10654,4993
