"Category","AC","DC"
"2020 Q1",328,144
"2020 Q2",354,150
"2020 Q3",341,147
"2020 Q4",1161,425
"2021 Q1",2134,647
"2021 Q2",2476,696
"2021 Q3",1848,483
"2021 Q4",1986,524
"2022 Q1",2191,560
"2022 Q2",1948,559
"2022 Q3",2184,651
"2022 Q4",2597,852
"2023 Q1",3140,973
"2023 Q2",3400,1131
"2023 Q3",4180,1332
"2023 Q4",4477,1614
"2024 Q1",4743,1906
"2024 Q2",5490,2435
"2024 Q3",6086,2624
"2024 Q4",6549,3006
"2025 Q1",7339,3695
"2025 Q2",8195,5212
"2025 Q3",8259,5620
"2025 Q4",8398,6123
