"Category","AC","DC"
"2020 Q1",,
"2020 Q2",,
"2020 Q3",,
"2020 Q4",,
"2021 Q1",,
"2021 Q2",,
"2021 Q3",47601,3313
"2021 Q4",51022,3631
"2022 Q1",54569,4251
"2022 Q2",60704,4996
"2022 Q3",66628,6167
"2022 Q4",75097,8220
"2023 Q1",84841,12176
"2023 Q2",89255,13734
"2023 Q3",94813,16321
"2023 Q4",100767,18488
"2024 Q1",106899,20631
"2024 Q2",113340,24099
"2024 Q3",123409,27487
"2024 Q4",125955,29976
"2025 Q1",132256,32630
"2025 Q2",136410,34414
"2025 Q3",144348,36801
"2025 Q4",146898,38501
