"Category","AC","DC"
"2020 Q1",2030,155
"2020 Q2",2408,161
"2020 Q3",2666,170
"2020 Q4",3365,277
"2021 Q1",3270,247
"2021 Q2",3687,371
"2021 Q3",4026,448
"2021 Q4",4070,527
"2022 Q1",4100,540
"2022 Q2",4229,616
"2022 Q3",4399,763
"2022 Q4",4511,1014
"2023 Q1",5974,1653
"2023 Q2",7358,1862
"2023 Q3",7970,2199
"2023 Q4",8508,2739
"2024 Q1",9655,3134
"2024 Q2",10326,3336
"2024 Q3",10795,3653
"2024 Q4",12363,4363
"2025 Q1",12602,4500
"2025 Q2",12871,4874
"2025 Q3",14398,5697
"2025 Q4",14452,5354
