"Category","AC","DC"
"2020 Q1",14,14
"2020 Q2",14,14
"2020 Q3",14,14
"2020 Q4",46,1
"2021 Q1",47,
"2021 Q2",47,
"2021 Q3",53,
"2021 Q4",60,
"2022 Q1",61,
"2022 Q2",75,
"2022 Q3",66,
"2022 Q4",67,
"2023 Q1",173,13
"2023 Q2",175,13
"2023 Q3",268,21
"2023 Q4",306,23
"2024 Q1",349,23
"2024 Q2",386,30
"2024 Q3",456,37
"2024 Q4",475,37
"2025 Q1",514,40
"2025 Q2",522,40
"2025 Q3",615,46
"2025 Q4",715,46
