"Category","AC","DC"
"2020 Q1",78,73
"2020 Q2",77,74
"2020 Q3",94,82
"2020 Q4",145,121
"2021 Q1",155,121
"2021 Q2",168,123
"2021 Q3",173,124
"2021 Q4",204,155
"2022 Q1",247,156
"2022 Q2",282,162
"2022 Q3",292,171
"2022 Q4",327,179
"2023 Q1",336,186
"2023 Q2",343,189
"2023 Q3",246,200
"2023 Q4",295,239
"2024 Q1",458,240
"2024 Q2",556,320
"2024 Q3",625,395
"2024 Q4",676,481
"2025 Q1",704,569
"2025 Q2",762,668
"2025 Q3",840,810
"2025 Q4",883,1168
