,PC1,PC2,PC3
0,3.477752077288436,-0.7808226028704289,-0.9857231687295845
1,2.6978553619153067,-0.7059948004002308,-0.31501616170236485
2,1.048743083661914,-0.5883639837189889,0.23073888922749955
3,1.2760706982183059,-0.602675154675875,-0.2912846635469166
4,-1.6448262642872642,-0.3260545488818985,0.3593597364197153
5,-1.9782228859472033,-0.22919251994925266,0.3692706614131548
6,-1.269669449996317,-0.7676144820102493,-1.2504974075165705
7,-1.4641068933259191,-0.7908054710025463,-1.3981926324574037
8,-3.375028052003821,-0.5667617308937292,0.1790696039822179
14,3.698781099533872,-0.5048532084705558,-0.8448432940290134
15,2.9322982956009715,-0.5767399848106967,-0.11439068278935766
16,1.1243365952749456,-0.3807927896781403,0.7624368124442766
17,1.2498494443965242,-0.3655818429922875,0.5101489085290051
18,-1.7021621281481,-0.28588742300135306,0.49736281114695446
19,-1.8570157059019783,-0.3929430533915085,-0.012345964421848214
20,-1.1808581887688567,-0.6983050044405686,-1.1677021953996827
21,-1.407261801065467,-0.8361417339368489,-1.307761881367066
22,-3.4216324102711138,-0.5289629004155543,0.0962514621983441
28,4.343907431373821,0.21353626765843173,-0.06544924450757324
29,3.509150123886408,0.3282853706987609,0.5819579337183791
30,1.4538405999249182,0.9563043356386116,0.9078468155358047
31,1.8296764327783432,0.73248188556018,-0.32431685130800825
32,-1.3708343764964135,1.3627992453536177,1.1290849341529376
33,-1.9925751820588942,1.843322086530474,2.634045120781283
34,-0.9205425885458505,0.5372001507668779,-1.2468517928065042
35,-0.8699532047676105,0.16335323542475544,-1.0672873240166987
36,-2.625999037045373,0.27942588763883947,0.5017676216664607
42,4.557978411777215,0.6847864976699176,0.8494896392055856
43,3.7160859507671433,0.6457879937091178,0.6899053200578235
44,1.8856439616601177,0.7603153522179986,1.1394102468815461
45,1.2361027004027236,1.5818180252577978,0.3167519470241066
46,-1.6652518879721057,1.5335509368226299,1.3223357507734317
47,-1.5234187844107294,0.707601158977337,0.6004354104004973
48,-1.0721143093393075,0.5083215832477097,-0.8674677171327914
49,-1.1928528347834544,0.31682598780092963,-1.051961131676098
50,-3.129546176052771,1.23882345058864,0.28396541928097085
56,3.9523141523545555,0.7962470159210834,-0.7349020651001892
57,3.487202475613076,0.5212146931104905,0.8388889534620754
58,1.6259223097959064,1.0002142354520636,3.201157688733611
59,1.8833593783512088,1.010961584843027,0.6904673484988247
60,-1.3387854179771164,1.7230949669414466,-0.034731926055323256
61,-1.8868989622416843,2.155781364513339,-0.6768852769928103
62,-1.3167924459162401,2.0102751649109907,-1.7122902251069192
63,-1.4403938011702389,1.8989925737253972,-2.4306133899788676
64,-3.361705879856194,2.3413919894388324,-0.2483176211197207
70,3.892102182136076,-1.0388968997708756,0.26705794588339626
71,3.0232315010071695,-1.1156510247857399,-0.05729998792191947
72,1.1532543734180307,-0.989228673568091,0.6924779851460275
73,1.3159530701611664,-0.9485467690151094,0.7122025798877245
74,-1.7104811667919113,-0.7234116590035115,0.7309026145983524
75,-1.8865402935096642,-0.8647119770160343,0.8127898725738842
76,-1.0759506531633565,-1.404625987933567,-0.9669404387435631
77,-1.2817511710978204,-1.4756155436464067,-1.0075135287792205
78,-2.912022063330034,-1.1247013716309517,0.4588560157595942
84,3.666000533609722,-1.4062251876427527,-0.22880649708722414
85,2.901706891304823,-1.3854499917510399,0.34377565985992137
86,1.0018982223044899,-0.9786276134664649,0.9683674020349846
87,1.1967550292945492,-1.075937338408649,0.4274779296654675
88,-1.8140687723428879,-0.7589496287130924,0.49611747792698824
89,-2.158331299507402,-0.7741609106913062,0.788398863574948
90,-1.332394868795496,-1.257488506298336,-0.719762749415783
91,-1.546906486627995,-1.2352945059261833,-0.714177224491922
92,-3.4295423295617784,-0.84594638201759,0.5949436535520987
98,3.2955297877938756,1.2017468863808853,-2.795266177806544
99,2.9457831657708775,0.7411677382675729,-0.9504991737835938
100,1.2582099335986134,0.9253754318823132,-0.34927197619874517
101,1.2845192715947749,1.1938561768971159,0.5679990017152577
102,-1.929106715245031,1.8806287853531134,0.7569315606658823
103,-1.7897319451764457,1.2107946903551268,0.9279831299936432
104,-1.0195925167404845,0.7696540038372885,-1.9802304981125936
105,-1.0188656469471598,0.49382104852040215,-1.6304315419804736
106,-3.010650307846871,1.0215500781529505,-0.2109417847759537
112,3.694591547671808,-0.17201420291505204,-0.9482998070448793
113,2.929169447014086,-0.21733499485180957,-0.25932095032996744
114,1.2638945973069082,-0.18227817702471522,0.7444923906875915
115,1.4861835337030278,-0.265190185287329,0.34257609404248385
116,-1.7554282332798115,0.22268722553966763,1.2023128747224954
117,-1.905507174617078,0.14977012868557613,0.8454225133794794
118,-1.157580174564065,-0.23734846419257713,-0.43757950525168954
119,-1.4828997752834638,-0.06465837157255971,-1.2824145713328077
120,-3.3577912147349345,-0.01938175027789297,0.2656804251730642
126,3.5339210982527196,-1.2720842835259156,-0.2979333363943773
127,2.7072064445691177,-1.370043253568618,0.15484257172022242
128,0.8827653846132676,-1.2612491686236398,0.8440975129459696
129,1.136972872810289,-1.2523158581078062,0.4719924526006414
130,-1.9623172466001888,-1.2827752930935519,1.0621544011724704
131,-2.2468650226374196,-1.28504722756677,1.0282234208403886
132,-1.511104640009792,-1.7659582656826351,-0.6574384819690177
133,-1.5962519543673666,-1.9481831604047255,-1.0522043638885723
134,-3.5688215095154416,-1.433177886657449,0.4173872953181945
140,3.410013361690953,-1.5478336840410853,-0.3794782818190264
141,2.570871951896002,-1.5240346115698769,-0.07909764011499694
142,0.8696250026268175,-1.4706994666178432,0.45674869963951226
143,1.103795955097613,-1.5011400263609862,0.1625850422076538
144,-1.8797281440344566,-1.3083095012407873,0.6090619201070426
145,-2.2623433782236,-1.4266530403924913,0.6837668108517136
146,-1.501275481953212,-1.977369813029396,-0.8756850109315459
147,-1.651525724580209,-2.059870676359203,-1.0702879370677485
148,-3.5518567835050163,-1.7527101616945562,0.38188562452553776
154,4.687449117872839,0.15403835006170596,0.8242327618405505
155,3.7512659590651687,0.51240691217767,1.5469768464832847
156,0.9501488421523,2.1994697459204993,3.9445195658110803
157,1.482986577642456,1.4562054070234234,-0.42450368111248454
158,-0.9756672106741834,0.38915679526820773,1.5355128735406138
159,-2.3554972253916975,1.937542645218426,2.0013565403373526
160,-0.7114319712938744,0.35902080605770614,-0.21560190878458474
161,-1.467127720776648,0.9942769505333491,-1.5306584343927498
162,-3.3019249508529223,0.872121422558436,0.567751814704373
168,4.216268334551445,-1.2015346851961317,-0.054309179631547654
169,3.344925800560733,-1.2122802827993109,-0.29512136769395314
170,1.0994058037825478,-1.4712045080805345,0.4690812917680052
171,0.7951054272242469,-0.9775657103414772,0.3047183348949115
172,-1.8810179013338684,-1.1066034379237581,0.9045907914906589
173,-2.1239611688718214,-1.103818697294442,0.5338272681543393
174,-1.1068769451145728,-1.9345818107261197,-0.89418778740309
175,-1.3387528757774314,-2.1785009285149304,-1.2379999868167084
176,-3.0821734320852747,-1.8584834192264033,0.14830920555733162
182,3.9819454237574545,-0.4653734476916065,0.17059689425951513
183,2.917869382465954,-0.2605525742993971,0.3020849238147311
184,0.7249118522113414,0.3106014529966874,0.13551899114909544
185,1.0013194761162396,0.1573301905464255,-0.050791948783014226
186,-2.106090531307689,0.5892661366780045,0.4975231235354501
187,-2.2975897137962837,0.5220447181574787,0.23792596111554684
188,-1.4748812313766866,0.012713793188206217,-0.8762076908054993
189,-1.6219518219834954,-0.07242497404074567,-1.0571504721032507
190,-3.4573877592959135,0.21634539954967671,-0.07333326425474865
196,3.522905876465776,-1.6147926435247366,-0.3686793016514752
197,2.806546107898571,-1.5761433303889048,0.03066370352206852
198,1.1492678947852681,-1.4016308064970031,1.2251780972501098
199,1.17234643854226,-1.0861468416529803,0.7711163656931798
200,-1.8313597537421555,-0.7303584721131081,0.9906895873152579
201,-2.1923901357850624,-0.5781459613402942,1.120381406847998
202,-1.299905078393187,-1.2445322292603156,-0.6912849539816057
203,-1.481567018109473,-1.325302151796826,-0.7516084231539071
204,-3.458543285253458,-1.0484375277468274,0.8388573081040953
210,4.21704541584814,1.6864495746216137,-1.1447746461213286
211,3.327657242393056,1.9096425961863301,-0.34086328913703345
212,1.1933169780207482,2.31363723309326,0.7074457505920373
213,1.8673694491386483,1.2560794848591543,0.7363277010371696
214,-1.4974048709208334,1.6114755952877213,0.46471927680389635
215,-1.5894075424819416,1.4544513128806709,1.16091199487448
216,-0.6385161436997936,0.8013146045057054,-1.075500201136633
217,-1.1580633431782432,0.7316276328830413,-1.716256531176484
218,-2.9981463094212724,1.1594520333385296,-0.5173463186108587
224,4.194753052105855,1.1535508860797026,-0.8287682213939503
225,3.197488154845844,1.4261298420279303,-0.6921606151325139
226,1.3695403821911516,1.6105578050492235,0.29633244501385797
227,1.4597356174548073,1.676987348416732,0.19129503667516548
228,-1.929224457520989,2.4474489451013333,2.6090262960898696
229,-1.6409873091858016,1.6661240586920023,0.06031044579168991
230,-0.5666036080476142,0.4037946388239853,-1.0203096128737117
231,-1.0384919707385463,0.6059276378396783,-1.5311330682992879
232,-2.8532706936929055,0.9210648760577242,0.06815157816948682
238,4.009246999548688,1.6214920863515323,-1.314374673678496
239,3.1797930974062156,1.5505663308096513,-0.6809243216993975
240,1.4687576859091125,1.6301453003124562,-0.015487989963520753
241,1.3231234126039428,1.069362943498886,-0.32919700740755264
242,-1.6785911642569071,1.1355029004764592,-0.04079917832455316
243,-1.9948672684223219,1.2808323114108373,0.1745484059385079
244,-1.2170823356153122,0.716360272681563,-1.6988121799850244
245,-1.4913670273710906,0.509770893989734,-1.8044902761728692
246,-3.3680627996777526,0.8835005916914187,-0.6502286527156134
252,3.859027761751188,1.7352516214038836,-1.2807846289059055
253,3.040880255514821,1.7733473033309972,-0.7382471315811087
254,1.0140187992975807,2.2855962495744584,-0.7602342487512689
