,Log_BEV Percentage (Total Number Of Registrations)
0,0.1655144384775734
1,0.1222176327242492
2,0.1906203596086497
3,0.3646431135879093
4,0.4382549309311553
5,0.7654678421395714
6,0.9282193027394288
7,1.095273387402595
8,1.3376291891386096
14,0.0487901641694319
15,0.1133286853070031
16,0.0953101798043248
17,0.2390169004704999
18,0.2776317365982795
19,0.3435897043900769
20,0.4252677354043441
21,0.5423242908253617
22,0.9516578757114464
28,0.0
29,0.0
30,0.0194229693746585
31,0.0388459387493171
32,0.0582689081239757
33,0.0487901641694319
34,0.0487901641694319
35,0.412109650826833
36,0.4510756193602165
42,0.0
43,0.0
44,0.0099013136480898
45,0.0198026272961797
46,0.0861776962410523
47,0.0487901641694319
48,0.009950330853168
49,0.0861776962410523
50,0.1484200051182733
56,0.0
57,0.0
58,0.0392509372024162
59,0.0785018744048323
60,0.1177528116072486
61,0.1570037488096647
62,0.3148107398400335
63,0.2468600779315258
64,0.4054651081081644
70,0.0295588022415444
71,0.0487901641694319
72,0.0198026272961797
73,0.0295588022415444
74,0.131028262406404
75,0.0769610411361283
76,0.131028262406404
77,0.2468600779315258
78,0.2700271372130601
84,0.2151113796169455
85,0.2468600779315258
86,0.2468600779315258
87,0.6043159668533294
88,1.0986122886681098
89,0.4382549309311553
90,0.2776317365982795
91,0.5247285289349821
92,1.2325602611778486
98,0.2851789422336624
99,1.2837077723447896
100,0.46373401623214
101,0.9162907318741552
102,0.1655144384775734
103,0.1906203596086497
104,0.0953101798043248
105,0.3220834991691133
106,0.2546422183735807
112,0.0198026272961797
113,0.0487901641694319
114,0.0487901641694319
115,0.1570037488096647
116,0.1988508587451652
117,0.173953307123438
118,0.3646431135879093
119,0.5128236264286639
120,0.9783261227936076
126,0.1133286853070031
127,0.2623642644674909
128,0.3987761199573678
129,0.488580014818671
130,0.6626879730752367
131,0.7701082216960737
132,0.8197798314933114
133,0.9202827531436926
134,1.091923300517313
140,0.0582689081239757
141,0.0769610411361283
142,0.1655144384775734
143,0.2623642644674909
144,0.3506568716131694
145,0.3220834991691133
146,0.5596157879354227
147,0.7227059828014898
148,0.9932517730102832
154,0.0
155,0.0
156,0.009950330853168
157,0.0582689081239757
158,0.0582689081239757
159,0.0392207131532812
160,0.0676586484738148
161,0.0953101798043248
162,0.1570037488096647
168,0.0198026272961797
169,0.0198026272961797
170,0.0198026272961797
171,0.0392207131532812
172,0.2231435513142097
173,0.2151113796169455
174,0.4824261492442928
175,0.6626879730752367
176,0.7701082216960737
182,0.0487901641694319
183,0.1570037488096647
184,0.1988508587451652
185,0.2390169004704999
186,0.3220834991691133
187,0.2468600779315258
188,0.3852624007906448
189,0.6780335427498971
190,1.3190856114264409
196,0.009950330853168
197,0.0392207131532812
198,0.0582689081239757
199,0.0769610411361283
200,0.0953101798043248
201,0.0769610411361283
202,0.1043600153242427
203,0.2390169004704999
204,0.4382549309311553
210,0.0
211,0.0582689081239757
212,0.423363134244123
213,0.7884573603642703
214,0.1133286853070031
215,0.1043600153242427
216,0.3074846997479606
217,0.5653138090500605
218,0.494696241836107
224,0.0
225,0.0
226,0.003316776951056
227,0.006633553902112
228,0.009950330853168
229,0.0392207131532812
230,0.0295588022415444
231,0.0861776962410523
232,0.0953101798043248
238,0.0582689081239757
239,0.1133286853070031
240,0.0810594247382175
241,0.0487901641694319
242,0.0953101798043248
243,0.2776317365982795
244,0.5306282510621704
245,0.6575200029167941
246,1.0543120297715298
252,0.4824261492442928
253,0.4824261492442928
254,0.4824261492442928
255,0.4824261492442928
256,0.4824261492442928
257,0.4824261492442928
258,0.4824261492442928
259,1.1631508098056809
260,1.5390154481375546
266,0.1397619423751587
267,0.1484200051182733
268,0.5596157879354227
269,0.6097655716208943
270,0.6151856390902334
271,0.717839793150317
272,1.0715836162801904
273,1.8594181177018696
274,2.698673039289613
280,0.009950330853168
281,0.009950330853168
282,0.009950330853168
283,0.0295588022415444
284,0.0295588022415444
285,0.0392207131532812
286,0.0953101798043248
287,0.1222176327242492
288,0.2311117209633866
294,0.1222176327242492
295,0.0676586484738148
296,0.1484200051182733
297,0.131028262406404
298,0.3293037471426004
299,0.3364722366212129
300,0.5709795465857378
301,1.0885619528146082
302,1.4060969884160703
308,0.009950330853168
309,0.0
310,0.0487901641694319
311,0.0582244063216234
312,0.0676586484738148
313,0.0676586484738148
314,0.1988508587451652
315,0.3220834991691133
316,0.6931471805599453
322,0.0392207131532812
323,0.0
324,0.0147794011207722
325,0.0295588022415444
326,0.0198026272961797
327,0.0582689081239757
328,0.1988508587451652
329,0.2700271372130601
330,0.1484200051182733
336,0.0198026272961797
337,0.0295588022415444
338,0.0343897576974128
339,0.0392207131532812
340,0.1397619423751587
341,0.2070141693843261
342,0.3784364357202451
343,0.494696241836107
344,0.5877866649021191
350,0.0676586484738148
351,0.0582689081239757
352,0.1222176327242492
353,0.1133286853070031
354,0.131028262406404
355,0.173953307123438
356,0.2776317365982795
357,0.3715635564324831
358,0.5877866649021191
364,0.0582689081239757
365,0.0953101798043248
366,0.1484200051182733
367,0.3506568716131694
368,0.6205764877251098
369,0.6043159668533294
370,0.7514160886839212
371,1.095273387402595
372,1.6582280766035324
