Country,Year,BEV Percentage (Total Number Of Registrations),BEV (New Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR),Log_BEV Percentage (Total Number Of Registrations),Log_BEV (New Registrations),Log_Recharging Points,Log_GDP,Log_CPI,Log_Available,Log_DC Recharging Speed (km/h),YJ_Purchase price (EUR)
Austria,2011,0.18000000000000002,631.0000000000001,308167.0,3.286579148753771,1.6,963,17.499999999999996,174.99999999999991,4.0,16.375,95.0,30469.929999999997,0.1655144384775734,6.448889394146858,6.871091294610546,12.638400367794908,1.4554890136235634,1.6094379124341003,5.170483995038151,-1.4930844053620678
Austria,2012,0.13,426.9999999999999,316589.4,2.485675621770154,1.0,1063,29.169521043596298,217.39413911549923,4.0,23.269579724420442,95.0,30469.929999999997,0.12221763272424921,6.059123195581797,6.96979066990159,12.665364103796234,1.2486618910672052,1.6094379124341003,5.386301407958927,-1.4930844053620678
Austria,2013,0.21,655.9999999999997,321191.7,2.000156169005993,0.4,1173,48.199999999999996,270.00000000000006,8.0,32.9,142.22,30469.929999999997,0.19062035960864973,6.48768401848461,7.068172000388042,12.679796533523747,1.0986643436485566,2.1972245773362196,5.602118820879701,-1.4930844053620678
Austria,2014,0.44000000000000006,1344.0000000000002,330113.5,1.605811829544746,1.0,1393,22.600000000000005,239.99999999999994,13.0,33.25999999999999,155.77,35555.639999999985,0.3646431135879093,7.20414929203594,7.2399325913204695,12.707194842959568,0.9577442694742737,2.6390573296152584,5.484796933490655,-0.88565742138688
Austria,2015,0.55,1698.9999999999993,342083.5,0.896563335260335,0.6,1625,47.7,381.2499999999999,21.0,56.40999999999999,215.22,42052.00000000004,0.4382549309311553,7.438383530044307,7.3938782901077555,12.74281306154988,0.6400434774554328,3.091042453358316,5.946074844809171,0.2778088403931457
Austria,2016,1.15,3806.000000000001,355665.6,0.8915917526553154,1.3,1998,44.849999999999994,371.50000000000006,23.0,62.48500000000002,269.27,39789.10999999997,0.7654678421395714,8.244596756382498,7.6004023345004,12.78174905417434,0.6374186717946339,3.1780538303479458,5.920237037819614,-0.18327089379826644
Austria,2017,1.5299999999999998,5398.000000000005,367294.9,2.081269113855855,1.7,3842,47.705882352940996,267.27272727273004,28.0,40.4,221.75,44717.85999999997,0.9282193027394288,8.593969030218288,8.254008590564844,12.813923069208021,1.1253415620694136,3.367295829986474,5.592004102144579,0.9066685175413296
Austria,2018,1.9899999999999998,6774.000000000003,383234.3,1.998379814295466,1.8,4079,48.714285714286,267.7777777777801,29.0,41.2,216.55,46225.87999999999,1.095273387402595,8.820994645747902,8.313852267398207,12.85640443983406,1.0980720808806423,3.4011973816621555,5.5938849332738165,1.3066140324564979
Austria,2019,2.81,9241.999999999993,395706.8,1.530895641526439,1.1,7694,57.06666666666701,458.9285714285701,34.0,69.48000000000002,300.68,42237.970000000016,1.3376291891386096,9.131621787264777,8.94832604627298,12.888431339082196,0.9285732486016751,3.5553480614894135,6.131071197922922,0.31858354261669347
Austria,2020,6.410000000000001,15955.000000000002,380317.9,1.381910633518592,-1.6,26797,39.325301204819006,403.16455696203013,97.0,57.76144578313298,286.2,38311.38000000003,2.0028304393079956,9.677590213025297,10.196082536848554,12.848765390288618,0.8679029528147836,4.584967478670572,6.001822114242144,-0.45103572356237
Austria,2021,13.920000000000002,33379.00000000003,406231.5,2.7666666666667,2.0,39904,40.90434782608699,493.3913043478299,168.0,64.04695652173898,308.73,40745.01000000002,2.702702594775615,10.415712197215827,10.59425690831011,12.91468093477517,1.326190437050194,5.1298987149230735,6.203327317695581,0.003736800253886465
Austria,2022,15.700000000000003,33768.00000000001,449382.2,8.546869931884492,2.7,61393,49.31481481481501,594.2592592592601,253.0,73.78703703703697,345.44,43874.27000000001,2.8154087194227095,10.427298500859438,11.02506738949063,13.015631254857027,2.2562133449453463,5.537334267018537,6.388997040490443,0.6971592583048458
