"Category","AC Recharging Speed (km/h)","DC Recharging Speed (km/h)"
"2011",17.5,175
"2013",48.2,270
"2014",22.6,240
"2015",47.7,381.25
"2016",44.85,371.5
"2017",47.705882352941,267.27272727273
"2018",48.714285714286,267.77777777778
"2019",57.066666666667,458.92857142857
"2020",39.325301204819,403.16455696203
"2021",40.904347826087,493.39130434783
"2022",49.314814814815,594.25925925926
"2023",70.307692307692,649.23076923077
