Country,Year,BEV Percentage (Total Number Of Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR)
Estonia,2023,6.39,"38,353.40",9.159225079839821,3.2,1104.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Estonia,2024,5.2,"39,847.70",3.520560532965817,0.2,3366.0,,,,,,
Estonia,2025,6.74,,4.828044382801662,,,,,,,,
Finland,2020,4.4,"236,387.00",0.2905545556533039,-2.3,11232.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Finland,2021,10.31,"248,764.00",2.194574323400038,2.3,16646.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Finland,2022,17.79,"266,135.00",7.123507733014013,3.5,20172.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Finland,2023,33.91,"272,848.00",6.250643221547617,0.9,38263.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Finland,2024,29.53,"275,963.00",1.565689062316196,-1.1,57625.0,,,,,,
Finland,2025,36.81,,0.3378746594005995,,,,,,,,
France,2020,6.72,"2,318,276.20",0.4764988527250138,-0.1,0.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
France,2021,9.77,"2,508,102.30",1.642331410383928,2.6,105567.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
France,2022,13.27,"2,653,997.20",5.222367483697355,2.3,280632.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
France,2023,16.73,"2,826,541.50",4.878357265084381,1.1,430395.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
France,2024,16.92,"2,919,899.90",1.99904942291464,0.8,571796.0,,,,,,
France,2025,20.01,,0.943770212469979,,,,,,,,
Germany,2020,6.56,"3,450,720.00",0.1448779258139629,-0.7,150624.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Germany,2021,13.4,"3,682,340.00",3.0666666666667,0.2,204664.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Germany,2022,17.51,"3,989,390.00",6.872574385510962,1.3,291730.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Germany,2023,18.28,"4,219,310.00",5.946436677258284,0.7,405023.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Germany,2024,13.47,"4,328,970.00",2.256498143387575,0.1,581995.0,,,,,,
Germany,2025,19.08,"4,470,480.00",2.171787709497235,,,,,,,,
Greece,2020,0.84,"167,539.50",-1.247983555814084,-2.6,814.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Greece,2021,2.1,"184,574.60",1.223825010198541,5.1,1950.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Greece,2022,2.51,"207,008.70",9.645259812806383,3.5,3051.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
Greece,2023,4.5,"224,686.20",3.464801285134019,2.0,8952.0,70.307692307692,649.23076923077,371.0,79.230769230769,,45999.05
Greece,2024,5.92,"236,736.00",2.741490457886056,0.9,24539.0,,,,,,
Greece,2025,5.81,,2.481626943608336,,,,,,,,
Hungary,2020,2.32,"48,807,766.00",3.326743857667302,-2.0,3205.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38
Hungary,2021,3.54,"55,560,466.00",5.1109653438286,2.4,7398.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01
Hungary,2022,4.22,"65,950,424.00",14.60814394924331,1.6,12637.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27
