Country,Year,BEV Percentage (Total Number Of Registrations),GDP,CPI,EG,Recharging Points,AC Recharging Speed (km/h),DC Recharging Speed (km/h),Available,Battery Capacity,Real Range,Purchase price (EUR),Log_BEV Percentage (Total Number Of Registrations),Log_Recharging Points,Log_GDP,Log_CPI,Log_EG,Log_Available,Log_AC Recharging Speed (km/h)
Cyprus,2020,0.42,22373.6,-0.6384227979789451,-0.4,131.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,0.3506568716131694,4.882801922586371,10.015681665888287,-1.017279699959838,-0.5108256237659907,4.584967478670572,3.696979093414722
Cyprus,2021,0.75,25679.9,2.446088671754743,2.9,207.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,0.5596157879354227,5.337538079701318,10.153502803918748,1.2372398695665392,1.3609765531356006,5.1298987149230735,3.7353895882770836
Cyprus,2022,3.1,29645.4,8.395482979933316,4.0,269.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,1.410986973710262,5.598421958998375,10.29709598052815,2.240229039732824,1.6094379124341003,5.537334267018537,3.918299562862077
Cyprus,2023,5.39,32439.2,3.541341887516581,2.9,992.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,1.8547342683894434,6.900730664045173,10.387153673438458,1.5132225383186408,1.3609765531356006,5.918893854273146,4.267004208104314
Cyprus,2024,7.92,34770.2,1.800230186248181,2.0,1793.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,2.188295946591918,7.492203042618741,10.456544736917149,1.0297016231765033,1.0986122886681098,6.314133279515715,4.534493983900053
Cyprus,2025,9.68,37268.699845865485,0.9151414425427984,1.3793103448275863,3240.775201612903,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,2.3683728335320486,8.083876360475402,10.52593593893579,0.649791480240734,0.8668106746107854,6.709659968072142,4.802766936988945
Czech Republic,2020,1.61,5828318.0,3.161295284978078,-2.3,3002.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,0.959350221334602,8.00736706798333,15.578239180557693,1.4258263923899266,,4.584967478670572,3.696979093414722
Czech Republic,2021,1.28,6307755.0,3.83984491500143,1.0,5825.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,0.8241754429663494,8.67008593751938,15.657290545276986,1.5768826778600968,0.6931471805599453,5.1298987149230735,3.7353895882770836
Czech Republic,2022,2.05,7049872.0,15.10016514683717,1.0,12158.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,1.1151415906193203,9.405824915296419,15.768520160441797,2.778829529505335,0.6931471805599453,5.537334267018537,3.918299562862077
Czech Republic,2023,3.39,7659655.0,10.66126013724261,1.6,17173.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,1.4793292270870801,9.75115189123243,15.851477632092164,2.4562722486027737,0.9555114450274363,5.918893854273146,4.267004208104314
Czech Republic,2024,4.7,8057032.0,2.43531202435312,0.6,21928.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,1.7404661748405046,9.995565240737037,15.902055932568247,1.2341077583329252,0.4700036292457356,6.314133279515715,4.534493983900053
Czech Republic,2025,5.55,8475024.612599915,2.459963678388641,0.22499999999999995,27999.603097886218,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,1.8794650496471605,10.239981328135597,15.952634233361904,1.2412580914389957,0.20294084399669027,6.709659968072142,4.802766936988945
Denmark,2020,7.16,2326592.3,0.4207119741100971,-1.1,11341.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,2.0992441689760155,9.336267928573973,14.659915652621983,0.35115813617747144,,4.584967478670572,3.696979093414722
Denmark,2021,13.4,2553260.5,1.853045439896808,2.3,19182.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,2.667228206581955,9.861779749136337,14.75288211949365,1.0483869991626458,1.1939224684724346,5.1298987149230735,3.7353895882770836
Denmark,2022,20.71,2831269.6,7.696566998892644,4.0,38234.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,3.0777729838902004,10.551506605478325,14.856236144125202,2.1629283499578964,1.6094379124341003,5.537334267018537,3.918299562862077
Denmark,2023,36.24,2787929.9,3.305178112376054,1.1,72581.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,3.617383452408866,11.192472236187903,14.840810265763437,1.4598185103980683,0.7419373447293773,5.918893854273146,4.267004208104314
Denmark,2024,51.72,2926877.8,1.372200497689185,0.7,122910.0,92.17635463782075,744.7369398802483,551.3231432955934,88.12346395201945,416.9419762403914,48874.922227563424,3.9649948901942516,11.719215795210426,14.889447157232148,0.8638180044137014,0.5306282510621704,6.314133279515715,4.534493983900053
Denmark,2025,68.53,3072750.7374316836,1.893673727030524,0.4454545454545453,208138.05403618026,120.84709475506058,854.2927043943777,819.2916666666667,98.01425600557052,458.0650095236485,51930.59471337719,4.2417583141109265,12.245961664337573,14.938084049509232,1.062526880675409,0.36842383642781523,6.709659968072142,4.802766936988945
Estonia,2020,1.92,27859.3,-0.4445310976798129,-2.7,202.0,39.325301204819,403.16455696203,97.0,57.761445783133,286.2,38311.38,1.0715836162801904,5.313205979041787,10.234958015402167,-0.5879426528912761,,4.584967478670572,3.696979093414722
Estonia,2021,2.25,31453.3,4.653166738474747,0.1,234.0,40.904347826087,493.39130434783,168.0,64.046956521739,308.73,40745.01,1.1786549963416462,5.459585514144159,10.356290977742836,1.7322158728312702,0.09531017980432487,5.1298987149230735,3.7353895882770836
Estonia,2022,3.3,36300.9,19.39826340806164,4.6,455.0,49.314814814815,594.25925925926,253.0,73.787037037037,345.44,43874.27,1.4586150226995167,6.1224928095143865,10.499625360480964,3.0154497701708554,1.7227665977411035,5.537334267018537,3.918299562862077
Estonia,2023,6.39,38353.4,9.15922507983982,3.2,1104.0,70.307692307692,649.23076923077,371.0,79.230769230769,379.51078544947944,45999.05,2.0001277349601105,7.007600613951853,10.554624532939009,2.318382167572195,1.4350845252893227,5.918893854273146,4.267004208104314
